name,version,license
org.apache.hadoop:hadoop-mapreduce-client-jobclient,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-mapreduce-client-shuffle,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-yarn-api,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-yarn-client,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-yarn-common,2.2.0,The Apache Software License Version 2.0
org.apache.hadoop:hadoop-yarn-server-common,2.2.0,The Apache Software License Version 2.0
org.apache.httpcomponents:httpclient,4.5.3,The Apache Software License Version 2.0
org.apache.httpcomponents:httpcore,4.4.6,The Apache Software License Version 2.0
org.apache.ivy:ivy,2.4.0,The Apache Software License Version 2.0
org.apache.mesos:mesos,0.21.1,The Apache Software License Version 2.0
org.apache.parquet:parquet-column,1.7.0,The Apache Software License Version 2.0
org.apache.parquet:parquet-common,1.7.0,The Apache Software License Version 2.0
org.apache.parquet:parquet-encoding,1.7.0,The Apache Software License Version 2.0
org.apache.parquet:parquet-format,2.3.0-incubating,The Apache Software License Version 2.0
org.apache.parquet:parquet-generator,1.7.0,The Apache Software License Version 2.0
org.apache.parquet:parquet-hadoop,1.7.0,The Apache Software License Version 2.0
org.apache.parquet:parquet-jackson,1.7.0,The Apache Software License Version 2.0
org.apache.spark:spark-catalyst_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-core_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-hive_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-launcher_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-network-common_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-network-shuffle_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-sql_2.10,1.6.3,Apache 2.0 License
org.apache.spark:spark-unsafe_2.10,1.6.3,Apache 2.0 License
org.apache.thrift:libfb303,0.9.2,The Apache Software License Version 2.0
org.apache.thrift:libthrift,0.9.2,The Apache Software License Version 2.0
org.apache.xbean:xbean-asm5-shaded,4.4,http://asm.ow2.org/license.html - http://www.apache.org/licenses/LICENSE-2.0.txt
org.apache.zookeeper:zookeeper,3.4.5,Apache
org.codehaus.jackson:jackson-core-asl,1.9.2,The Apache Software License Version 2.0
org.codehaus.jackson:jackson-jaxrs,1.8.3,GNU Lesser General Public License (LGPL) Version 2.1 - The Apache Software License Version 2.0
org.codehaus.jackson:jackson-mapper-asl,1.9.13,The Apache Software License Version 2.0
org.codehaus.jackson:jackson-xc,1.8.3,GNU Lesser General Public License (LGPL) Version 2.1 - The Apache Software License Version 2.0
org.codehaus.janino:commons-compiler,2.7.6,New BSD License
org.codehaus.janino:janino,2.7.8,New BSD License
org.codehaus.jettison:jettison,1.1,-
org.datanucleus:datanucleus-api-jdo,3.2.6,The Apache Software License Version 2.0
org.datanucleus:datanucleus-core,3.2.10,The Apache Software License Version 2.0
org.datanucleus:datanucleus-rdbms,3.2.9,The Apache Software License Version 2.0
org.eclipse.jetty.orbit:javax.servlet,3.0.0.v201112011016,Apache Software License Version 2.0 - Eclipse Public License Version 1.0
org.fusesource.leveldbjni:leveldbjni-all,1.8,The BSD 3-Clause License
org.glassfish:javax.servlet,3.1,CDDL + GPLv2 with classpath exception
org.glassfish.external:management-api,3.0.0-b012,CDDL+GPL
org.glassfish.gmbal:gmbal-api-only,3.0.0-b023,CDDL+GPL
org.glassfish.grizzly:grizzly-framework,2.1.2,CDDL+GPL
org.glassfish.grizzly:grizzly-http,2.1.2,CDDL+GPL
org.glassfish.grizzly:grizzly-http-server,2.1.2,CDDL+GPL
org.glassfish.grizzly:grizzly-http-servlet,2.1.2,CDDL+GPL
org.glassfish.grizzly:grizzly-rcm,2.1.2,CDDL+GPL
org.iq80.snappy:snappy,0.2,Apache License 2.0
org.jodd:jodd-core,3.5.2,The New BSD License
org.json:json,20090211,provided without support or warranty
org.json4s:json4s-ast_2.10,3.2.10,ASL
org.json4s:json4s-core_2.10,3.2.10,ASL
org.json4s:json4s-jackson_2.10,3.2.10,ASL
org.mortbay.jetty:jetty-util,6.1.26,Apache Software License Version 2.0 - Eclipse Public License Version 1.0
org.objenesis:objenesis,1.2,Apache 2
org.roaringbitmap:RoaringBitmap,0.5.11,Apache 2
org.scala-lang:scala-compiler,2.10.0,BSD-like
org.scala-lang:scala-library,2.10.5,BSD-like
org.scala-lang:scala-reflect,2.10.4,BSD-like
org.scala-lang:scalap,2.10.0,BSD-like
org.slf4j:jcl-over-slf4j,1.7.10,MIT License
org.slf4j:jul-to-slf4j,1.7.10,MIT License
org.slf4j:slf4j-api,1.7.10,MIT License
org.slf4j:slf4j-log4j12,1.7.10,MIT License
org.spark-project.hive:hive-cli,1.2.1.spark,The Apache Software License Version 2.0
org.spark-project.hive:hive-exec,1.2.1.spark,The Apache Software License Version 2.0
org.spark-project.hive:hive-metastore,1.2.1.spark,The Apache Software License Version 2.0
org.spark-project.spark:unused,1.0.0,The Apache License Version 2.0
org.tachyonproject:tachyon-client,0.8.2,Apache License
org.tachyonproject:tachyon-underfs-hdfs,0.8.2,Apache License
org.tachyonproject:tachyon-underfs-local,0.8.2,Apache License
org.tachyonproject:tachyon-underfs-s3,0.8.2,Apache License
org.tukaani:xz,1.0,Public Domain
org.uncommons.maths:uncommons-maths,1.2.2a,The Apache Software License Version 2.0
org.xerial.snappy:snappy-java,1.1.2.6,The Apache Software License Version 2.0
oro:oro,2.0.8,Apache
stax:stax-api,1.0.1,The Apache Software License Version 2.0
xmlenc:xmlenc,0.52,The BSD License
